Aug 21, 2025  03:58:48 PM
Residual Gas Analyzer Software 
RGA Software Version, 3.218.004

Pressure vs Time Scan Setup:

Active channels in Scan, 1 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1235, Volts
CEM Gain, 1.03E+003 
Sensitivity Factor, 1.99E-005 
Filament Current, 1.00, mAmps
Start time, Aug 21, 2025  03:58:48 PM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         138.00         Barium                1.00         3            OFF


Time(s)      Channel#1   

329.536,   1.5442E-008,  
330.550,   1.4905E-008,  
331.564,   1.8598E-008,  
332.578,   1.8704E-008,  
333.592,   1.6397E-008,  
334.606,   1.4196E-008,  
335.620,   1.7724E-008,  
336.634,   1.9196E-008,  
337.648,   1.8613E-008,  
338.662,   1.4819E-008,  
339.676,   1.6085E-008,  
340.690,   1.8352E-008,  
341.704,   1.7477E-008,  
342.718,   1.6317E-008,  
343.732,   1.6734E-008,  
344.746,   1.8472E-008,  
345.760,   1.7930E-008,  
346.774,   1.4688E-008,  
347.788,   1.5568E-008,  
348.802,   1.8342E-008,  
349.816,   1.5608E-008,  
350.830,   1.4935E-008,  
351.844,   1.7794E-008,  
352.858,   1.8729E-008,  
353.872,   1.6668E-008,  
354.886,   1.5698E-008,  
355.900,   1.6291E-008,  
356.914,   1.7226E-008,  
357.928,   1.7844E-008,  
358.942,   1.5638E-008,  
359.956,   1.7729E-008,  
360.970,   1.8598E-008,  
361.984,   1.7181E-008,  
362.998,   1.5543E-008,  
364.012,   1.6854E-008,  
365.026,   1.8111E-008,  
366.040,   1.7487E-008,  
367.054,   1.3548E-008,  
368.068,   1.6040E-008,  
369.082,   1.8181E-008,  
370.096,   1.6538E-008,  
371.110,   1.5085E-008,  
372.124,   1.5372E-008,  
373.138,   1.6518E-008,  
374.152,   1.5975E-008,  
375.166,   1.5704E-008,  
376.180,   1.5362E-008,  
377.194,   1.9513E-008,  
378.208,   1.9734E-008,  
379.222,   1.6176E-008,  
380.236,   1.7432E-008,  
381.250,   1.7869E-008,  
382.264,   1.6548E-008,  
383.278,   1.6146E-008,  
384.293,   1.5925E-008,  
385.307,   1.7322E-008,  
386.321,   1.7382E-008,  
387.335,   1.5704E-008,  
388.349,   1.6196E-008,  
389.363,   1.7412E-008,  
390.377,   1.6749E-008,  
391.391,   1.4754E-008,  
392.405,   1.8050E-008,  
393.419,   1.7342E-008,  
394.433,   1.7769E-008,  
395.447,   1.4327E-008,  
396.461,   1.6010E-008,  
397.475,   1.6824E-008,  
398.489,   1.8442E-008,  
399.503,   1.3859E-008,  
400.517,   1.7141E-008,  
401.531,   1.5935E-008,  
402.545,   1.7357E-008,  
403.559,   1.5523E-008,  
404.573,   1.4698E-008,  
405.587,   1.6533E-008,  
406.601,   1.6643E-008,  
407.615,   1.5402E-008,  
408.629,   1.5859E-008,  
409.643,   1.6965E-008,  
410.657,   1.6387E-008,  
411.671,   1.7040E-008,  
412.685,   1.5010E-008,  
413.699,   1.5980E-008,  
414.713,   1.7166E-008,  
415.727,   1.5060E-008,  
416.741,   1.5568E-008,  
417.755,   1.7407E-008,  
418.769,   1.9286E-008,  
419.783,   1.5744E-008,  
420.797,   1.5452E-008,  
